x-axis,1,2
second,Volt,Volt
-8.6250E-09,-48.7157658099E-03,-19.9318465202E-03
-7.8438E-09,-40.5147608726E-03,-23.9519469797E-03
-7.0625E-09,-33.9217961191E-03,-31.8313438802E-03
-6.2813E-09,-28.3539569828E-03,-43.7308412402E-03
-5.5000E-09,-16.5549621343E-03,-51.9318461775E-03
-4.7188E-09,-635.3643148E-06,-57.0775747656E-03
-3.9375E-09,+11.5857410819E-03,-64.0323485604E-03
-3.1563E-09,+17.3746857436E-03,-72.0323484747E-03
-2.3750E-09,+23.8671479856E-03,-83.9318458347E-03
-1.5938E-09,+35.7063438387E-03,-90.6856146066E-03
-812.5E-12,+51.6259416581E-03,-96.2534537430E-03
-31.3E-12,+59.0229265035E-03,-104.1931521504E-03
+750.0E-12,+64.1284540870E-03,-112.2333530693E-03
+1.5312E-09,+72.0480519922E-03,-120.2735539882E-03
+2.3125E-09,+83.9475493522E-03,-123.9720464109E-03
+3.0937E-09,+96.0078507305E-03,-128.4544584232E-03
+3.8750E-09,+100.1083531992E-03,-140.2132522671E-03
+4.6562E-09,+104.3596094351E-03,-144.5549607633E-03
+5.4375E-09,+116.1083530278E-03,-149.0574732779E-03
+6.2187E-09,+128.1686544062E-03,-152.6152621846E-03
+7.0000E-09,+140.2289557846E-03,-164.3338550239E-03
+7.7812E-09,+145.2942823635E-03,-168.6755635201E-03
+8.5625E-09,+152.4802119347E-03,-176.5549604206E-03
+9.3437E-09,+160.4902621002E-03,-180.4946588709E-03
+10.1250E-09,+168.5304630191E-03,-184.7459151068E-03
+10.9063E-09,+174.8822217451E-03,-188.7760658174E-03
+11.6875E-09,+180.6812166578E-03,-196.6554627179E-03
+12.4688E-09,+192.4902617575E-03,-196.9770707547E-03
