Freq.	V(ref)/V(tee)
4.42920000000000e+07	1.67989411781437e+00,-3.77660063744084e-01
4.44500000000000e+07	1.67284378541701e+00,-3.80261458497004e-01
4.46080000000000e+07	1.66577869980980e+00,-3.82710060491331e-01
4.47660000000000e+07	1.65870324451296e+00,-3.85007255953757e-01
4.49240000000000e+07	1.65162168267584e+00,-3.87154568161353e-01
4.50820000000000e+07	1.64453815335296e+00,-3.89153649247204e-01
4.52400000000000e+07	1.63745666831083e+00,-3.91006272009123e-01
4.53980000000000e+07	1.63038110934968e+00,-3.92714321754240e-01
4.55560000000000e+07	1.62331522612287e+00,-3.94279788210038e-01
4.57140000000000e+07	1.61626263443465e+00,-3.95704757530133e-01
4.58720000000000e+07	1.60922681499628e+00,-3.96991404420816e-01
4.60300000000000e+07	1.60221111261888e+00,-3.98141984412046e-01
4.61880000000000e+07	1.59521873582096e+00,-3.99158826294303e-01
4.63460000000000e+07	1.58825275682773e+00,-4.00044324740446e-01
4.65040000000000e+07	1.58131611193886e+00,-4.00800933129478e-01
4.66620000000000e+07	1.57441160224127e+00,-4.01431156587009e-01
4.68200000000000e+07	1.56754189464313e+00,-4.01937545255056e-01
4.69780000000000e+07	1.56070952320564e+00,-4.02322687801854e-01
4.71360000000000e+07	1.55391689074926e+00,-4.02589205180441e-01
4.72940000000000e+07	1.54716627071118e+00,-4.02739744642912e-01
4.74520000000000e+07	1.54045980923172e+00,-4.02776974015585e-01
4.76100000000000e+07	1.53379952744740e+00,-4.02703576238671e-01
4.77680000000000e+07	1.52718732396953e+00,-4.02522244172533e-01
4.79260000000000e+07	1.52062497752743e+00,-4.02235675671275e-01
4.80840000000000e+07	1.51411414975664e+00,-4.01846568923082e-01
4.82420000000000e+07	1.50765638811288e+00,-4.01357618055567e-01
4.84000000000000e+07	1.50125312889363e+00,-4.00771509003352e-01
4.85580000000000e+07	1.49490570035008e+00,-4.00090915634108e-01
4.87160000000000e+07	1.48861532587309e+00,-3.99318496128477e-01
4.88740000000000e+07	1.48238312723766e+00,-3.98456889608491e-01
4.90320000000000e+07	1.47621012789145e+00,-3.97508713008510e-01
4.91900000000000e+07	1.47009725627389e+00,-3.96476558182053e-01
4.93480000000000e+07	1.46404534915308e+00,-3.95362989237497e-01
4.95060000000000e+07	1.45805515496889e+00,-3.94170540095135e-01
4.96640000000000e+07	1.45212733717152e+00,-3.92901712257832e-01
4.98220000000000e+07	1.44626247754531e+00,-3.91558972787192e-01
4.99800000000000e+07	1.44046107950906e+00,-3.90144752477010e-01
5.01380000000000e+07	1.43472357138430e+00,-3.88661444215615e-01
5.02960000000000e+07	1.42905030962426e+00,-3.87111401528649e-01
5.04540000000000e+07	1.42344158199660e+00,-3.85496937293794e-01
5.06120000000000e+07	1.41789761071412e+00,-3.83820322618977e-01
5.07700000000000e+07	1.41241855550797e+00,-3.82083785875623e-01
5.09280000000000e+07	1.40700451663874e+00,-3.80289511878660e-01
5.10860000000000e+07	1.40165553784144e+00,-3.78439641205051e-01
5.12440000000000e+07	1.39637160920083e+00,-3.76536269642826e-01
5.14020000000000e+07	1.39115266995414e+00,-3.74581447762736e-01
5.15600000000000e+07	1.38599861121886e+00,-3.72577180604865e-01
5.17180000000000e+07	1.38090927864355e+00,-3.70525427472729e-01
5.18760000000000e+07	1.37588447498009e+00,-3.68428101827659e-01
5.20340000000000e+07	1.37092396257649e+00,-3.66287071276455e-01
5.21920000000000e+07	1.36602746578919e+00,-3.64104157645594e-01
5.23500000000000e+07	1.36119467331467e+00,-3.61881137135509e-01
5.25080000000000e+07	1.35642524044016e+00,-3.59619740548713e-01
5.26660000000000e+07	1.35171879121373e+00,-3.57321653585825e-01
5.28240000000000e+07	1.34707492053401e+00,-3.54988517203810e-01
5.29820000000000e+07	1.34249319616040e+00,-3.52621928031003e-01
5.31400000000000e+07	1.33797316064458e+00,-3.50223438833767e-01
5.32980000000000e+07	1.33351433318425e+00,-3.47794559029884e-01
5.34560000000000e+07	1.32911621140054e+00,-3.45336755244036e-01
5.36140000000000e+07	1.32477827304021e+00,-3.42851451900986e-01
5.37720000000000e+07	1.32049997760430e+00,-3.40340031852316e-01
5.39300000000000e+07	1.31628076790472e+00,-3.37803837032821e-01
5.40880000000000e+07	1.31212007155046e+00,-3.35244169142875e-01
5.42460000000000e+07	1.30801730236523e+00,-3.32662290353340e-01
5.44040000000000e+07	1.30397186173821e+00,-3.30059424029774e-01
5.45620000000000e+07	1.29998313990993e+00,-3.27436755472930e-01
5.47200000000000e+07	1.29605051719507e+00,-3.24795432672723e-01
5.48780000000000e+07	1.29217336514410e+00,-3.22136567073049e-01
5.50360000000000e+07	1.28835104764576e+00,-3.19461234345011e-01
5.51940000000000e+07	1.28458292197225e+00,-3.16770475166297e-01
5.53520000000000e+07	1.28086833976920e+00,-3.14065296004623e-01
5.55100000000000e+07	1.27720664799213e+00,-3.11346669903300e-01
5.56680000000000e+07	1.27359718979164e+00,-3.08615537267162e-01
5.58260000000000e+07	1.27003930534898e+00,-3.05872806647210e-01
5.59840000000000e+07	1.26653233266397e+00,-3.03119355522490e-01
5.61420000000000e+07	1.26307560829719e+00,-3.00356031077836e-01
5.63000000000000e+07	1.25966846806821e+00,-2.97583650976229e-01
5.64580000000000e+07	1.25631024771160e+00,-2.94803004124661e-01
5.66160000000000e+07	1.25300028349261e+00,-2.92014851432469e-01
5.67740000000000e+07	1.24973791278411e+00,-2.89219926561247e-01
5.69320000000000e+07	1.24652247460651e+00,-2.86418936665489e-01
5.70900000000000e+07	1.24335331013231e+00,-2.83612563123257e-01
5.72480000000000e+07	1.24022976315687e+00,-2.80801462256218e-01
5.74060000000000e+07	1.23715118053684e+00,-2.77986266038476e-01
5.75640000000000e+07	1.23411691259789e+00,-2.75167582793728e-01
5.77220000000000e+07	1.23112631351310e+00,-2.72345997880284e-01
5.78800000000000e+07	1.22817874165342e+00,-2.69522074363623e-01
5.80380000000000e+07	1.22527355991153e+00,-2.66696353676151e-01
5.81960000000000e+07	1.22241013600053e+00,-2.63869356263930e-01
5.83540000000000e+07	1.21958784272852e+00,-2.61041582220166e-01
5.85120000000000e+07	1.21680605825044e+00,-2.58213511905311e-01
5.86700000000000e+07	1.21406416629832e+00,-2.55385606553658e-01
5.88280000000000e+07	1.21136155639100e+00,-2.52558308866362e-01
5.89860000000000e+07	1.20869762402441e+00,-2.49732043590851e-01
5.91440000000000e+07	1.20607177084354e+00,-2.46907218086618e-01
5.93020000000000e+07	1.20348340479697e+00,-2.44084222877424e-01
5.94600000000000e+07	1.20093194027500e+00,-2.41263432189957e-01
5.96180000000000e+07	1.19841679823229e+00,-2.38445204479040e-01
5.97760000000000e+07	1.19593740629578e+00,-2.35629882939469e-01
5.99340000000000e+07	1.19349319885890e+00,-2.32817796004613e-01
6.00920000000000e+07	1.19108361716274e+00,-2.30009257831907e-01
6.02500000000000e+07	1.18870810936496e+00,-2.27204568775396e-01
6.04080000000000e+07	1.18636613059723e+00,-2.24404015845493e-01
6.05660000000000e+07	1.18405714301183e+00,-2.21607873156139e-01
