Record Length,Analog:350
Sample Interval,CH:0.0000000020000
Vertical Units,CH1:V CH2:V CH3:V,,,
Vertical Scale,CH1:+1.000000E+00 CH2:+1.000000E+00 CH3:+1.000000E+00,,,
Vertical Offset,CH1:-2.000000E+00 CH2:-2.000000E+00 CH3:-2.000000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,0.0500000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMFCQ5R6893,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2,CH3
Second,Volt,Volt,Volt
+4.140000E-07,+4.920000E+00,+5.200000E+00,+5.400000E+00
+4.160000E-07,+4.960000E+00,+5.160000E+00,+5.360000E+00
+4.180000E-07,+4.960000E+00,+5.160000E+00,+5.360000E+00
+4.200000E-07,+4.960000E+00,+5.160000E+00,+5.360000E+00
+4.220000E-07,+4.960000E+00,+5.160000E+00,+5.320000E+00
+4.240000E-07,+4.920000E+00,+5.160000E+00,+5.280000E+00
+4.260000E-07,+4.960000E+00,+5.160000E+00,+5.240000E+00
+4.280000E-07,+4.920000E+00,+5.160000E+00,+5.200000E+00
+4.300000E-07,+4.960000E+00,+5.200000E+00,+5.160000E+00
+4.320000E-07,+4.960000E+00,+5.240000E+00,+5.120000E+00
+4.340000E-07,+5.000000E+00,+5.280000E+00,+5.120000E+00
+4.360000E-07,+5.040000E+00,+5.280000E+00,+5.080000E+00
+4.380000E-07,+5.040000E+00,+5.280000E+00,+5.040000E+00
+4.400000E-07,+5.080000E+00,+5.280000E+00,+5.040000E+00
+4.420000E-07,+5.080000E+00,+5.320000E+00,+5.000000E+00
+4.440000E-07,+5.080000E+00,+5.320000E+00,+4.960000E+00
+4.460000E-07,+5.080000E+00,+5.320000E+00,+4.960000E+00
+4.480000E-07,+5.040000E+00,+5.320000E+00,+4.920000E+00
+4.500000E-07,+5.040000E+00,+5.320000E+00,+4.880000E+00
+4.520000E-07,+5.040000E+00,+5.320000E+00,+4.880000E+00
+4.540000E-07,+5.080000E+00,+5.360000E+00,+4.800000E+00
+4.560000E-07,+5.120000E+00,+5.360000E+00,+4.800000E+00
+4.580000E-07,+5.120000E+00,+5.400000E+00,+4.840000E+00
+4.600000E-07,+5.120000E+00,+5.400000E+00,+4.880000E+00
+4.620000E-07,+5.160000E+00,+5.400000E+00,+4.880000E+00
+4.640000E-07,+5.200000E+00,+5.400000E+00,+4.880000E+00
+4.660000E-07,+5.160000E+00,+5.400000E+00,+4.920000E+00
+4.680000E-07,+5.160000E+00,+5.360000E+00,+5.000000E+00
+4.700000E-07,+5.160000E+00,+5.360000E+00,+5.040000E+00
+4.720000E-07,+5.080000E+00,+5.360000E+00,+5.080000E+00
+4.740000E-07,+5.080000E+00,+5.360000E+00,+5.120000E+00
+4.760000E-07,+5.080000E+00,+5.360000E+00,+5.160000E+00
+4.780000E-07,+5.040000E+00,+5.360000E+00,+5.200000E+00
+4.800000E-07,+5.040000E+00,+5.360000E+00,+5.200000E+00
+4.820000E-07,+5.040000E+00,+5.360000E+00,+5.240000E+00
+4.840000E-07,+5.000000E+00,+5.320000E+00,+5.280000E+00
+4.860000E-07,+4.960000E+00,+5.320000E+00,+5.280000E+00
+4.880000E-07,+5.000000E+00,+5.320000E+00,+5.280000E+00
+4.900000E-07,+5.000000E+00,+5.320000E+00,+5.280000E+00
+4.920000E-07,+5.040000E+00,+5.320000E+00,+5.280000E+00
+4.940000E-07,+5.040000E+00,+5.320000E+00,+5.280000E+00
+4.960000E-07,+5.040000E+00,+5.320000E+00,+5.240000E+00
+4.980000E-07,+5.080000E+00,+5.320000E+00,+5.240000E+00
+5.000000E-07,+5.080000E+00,+5.280000E+00,+5.200000E+00
+5.020000E-07,+5.120000E+00,+5.280000E+00,+5.200000E+00
+5.040000E-07,+5.120000E+00,+5.280000E+00,+5.200000E+00
+5.060000E-07,+5.080000E+00,+5.280000E+00,+5.160000E+00
+5.080000E-07,+5.120000E+00,+5.280000E+00,+5.160000E+00
+5.100000E-07,+5.160000E+00,+5.280000E+00,+5.080000E+00
+5.120000E-07,+5.160000E+00,+5.240000E+00,+5.080000E+00
+5.140000E-07,+5.160000E+00,+5.240000E+00,+5.120000E+00
+5.160000E-07,+5.160000E+00,+5.240000E+00,+5.080000E+00
+5.180000E-07,+5.200000E+00,+5.200000E+00,+5.080000E+00
+5.200000E-07,+5.200000E+00,+5.160000E+00,+5.080000E+00
+5.220000E-07,+5.200000E+00,+5.160000E+00,+5.120000E+00
+5.240000E-07,+5.240000E+00,+5.160000E+00,+5.160000E+00
+5.260000E-07,+5.240000E+00,+5.160000E+00,+5.160000E+00
+5.280000E-07,+5.240000E+00,+5.160000E+00,+5.160000E+00
+5.300000E-07,+5.240000E+00,+5.160000E+00,+5.160000E+00
+5.320000E-07,+5.240000E+00,+5.120000E+00,+5.160000E+00
+5.340000E-07,+5.240000E+00,+5.120000E+00,+5.200000E+00
+5.360000E-07,+5.200000E+00,+5.120000E+00,+5.200000E+00
+5.380000E-07,+5.200000E+00,+5.080000E+00,+5.200000E+00
+5.400000E-07,+5.160000E+00,+5.080000E+00,+5.200000E+00
+5.420000E-07,+5.160000E+00,+5.080000E+00,+5.200000E+00
+5.440000E-07,+5.160000E+00,+5.040000E+00,+5.200000E+00
+5.460000E-07,+5.160000E+00,+5.040000E+00,+5.200000E+00
+5.480000E-07,+5.160000E+00,+5.040000E+00,+5.160000E+00
+5.500000E-07,+5.160000E+00,+5.040000E+00,+5.160000E+00
+5.520000E-07,+5.160000E+00,+5.080000E+00,+5.160000E+00
+5.540000E-07,+5.160000E+00,+5.080000E+00,+5.160000E+00
+5.560000E-07,+5.200000E+00,+5.120000E+00,+5.160000E+00
+5.580000E-07,+5.200000E+00,+5.120000E+00,+5.120000E+00
+5.600000E-07,+5.160000E+00,+5.120000E+00,+5.120000E+00
+5.620000E-07,+5.160000E+00,+5.120000E+00,+5.120000E+00
+5.640000E-07,+5.160000E+00,+5.120000E+00,+5.120000E+00
+5.660000E-07,+5.160000E+00,+5.120000E+00,+5.080000E+00
+5.680000E-07,+5.160000E+00,+5.160000E+00,+5.080000E+00
+5.700000E-07,+5.160000E+00,+5.160000E+00,+5.080000E+00
+5.720000E-07,+5.160000E+00,+5.160000E+00,+5.040000E+00
+5.740000E-07,+5.160000E+00,+5.160000E+00,+5.040000E+00
+5.760000E-07,+5.160000E+00,+5.200000E+00,+5.040000E+00
+5.780000E-07,+5.160000E+00,+5.240000E+00,+5.040000E+00
+5.800000E-07,+5.120000E+00,+5.240000E+00,+5.080000E+00
+5.820000E-07,+5.120000E+00,+5.200000E+00,+5.040000E+00
+5.840000E-07,+5.120000E+00,+5.160000E+00,+5.040000E+00
+5.860000E-07,+5.080000E+00,+5.200000E+00,+5.040000E+00
+5.880000E-07,+5.080000E+00,+5.200000E+00,+5.080000E+00
+5.900000E-07,+5.080000E+00,+5.200000E+00,+5.080000E+00
+5.920000E-07,+5.040000E+00,+5.200000E+00,+5.120000E+00
+5.940000E-07,+5.040000E+00,+5.160000E+00,+5.120000E+00
+5.960000E-07,+5.040000E+00,+5.160000E+00,+5.120000E+00
+5.980000E-07,+5.040000E+00,+5.160000E+00,+5.120000E+00
+6.000000E-07,+5.000000E+00,+5.200000E+00,+5.120000E+00
+6.020000E-07,+5.040000E+00,+5.160000E+00,+5.160000E+00
+6.040000E-07,+5.000000E+00,+5.160000E+00,+5.160000E+00
+6.060000E-07,+5.000000E+00,+5.160000E+00,+5.120000E+00
+6.080000E-07,+5.000000E+00,+5.200000E+00,+5.080000E+00
+6.100000E-07,+5.000000E+00,+5.200000E+00,+5.120000E+00
+6.120000E-07,+5.000000E+00,+5.200000E+00,+5.160000E+00
+6.140000E-07,+5.000000E+00,+5.160000E+00,+5.120000E+00
+6.160000E-07,+5.000000E+00,+5.160000E+00,+5.120000E+00
+6.180000E-07,+5.000000E+00,+5.200000E+00,+5.120000E+00
+6.200000E-07,+5.000000E+00,+5.200000E+00,+5.120000E+00
+6.220000E-07,+5.000000E+00,+5.200000E+00,+5.080000E+00
+6.240000E-07,+5.000000E+00,+5.200000E+00,+5.080000E+00
+6.260000E-07,+5.000000E+00,+5.200000E+00,+5.080000E+00
+6.280000E-07,+5.040000E+00,+5.160000E+00,+5.080000E+00
+6.300000E-07,+5.080000E+00,+5.160000E+00,+5.040000E+00
+6.320000E-07,+5.080000E+00,+5.160000E+00,+5.040000E+00
+6.340000E-07,+5.080000E+00,+5.160000E+00,+5.040000E+00
+6.360000E-07,+5.080000E+00,+5.160000E+00,+5.040000E+00
+6.380000E-07,+5.080000E+00,+5.160000E+00,+5.000000E+00
+6.400000E-07,+5.080000E+00,+5.120000E+00,+5.000000E+00
+6.420000E-07,+5.080000E+00,+5.160000E+00,+5.000000E+00
+6.440000E-07,+5.080000E+00,+5.160000E+00,+4.960000E+00
+6.460000E-07,+5.080000E+00,+5.160000E+00,+4.960000E+00
+6.480000E-07,+5.080000E+00,+5.160000E+00,+4.960000E+00
+6.500000E-07,+5.080000E+00,+5.160000E+00,+4.960000E+00
+6.520000E-07,+5.040000E+00,+5.120000E+00,+4.960000E+00
+6.540000E-07,+5.080000E+00,+5.120000E+00,+4.960000E+00
+6.560000E-07,+5.120000E+00,+5.120000E+00,+4.960000E+00
+6.580000E-07,+5.080000E+00,+5.120000E+00,+4.960000E+00
+6.600000E-07,+5.040000E+00,+5.160000E+00,+5.000000E+00
+6.620000E-07,+5.040000E+00,+5.160000E+00,+5.000000E+00
+6.640000E-07,+5.040000E+00,+5.120000E+00,+5.000000E+00
